"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","1 wk ahead","Bin","percent","9.8","9.9",2e-04
"US National","1 wk ahead","Bin","percent","9.9","10",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","10","10.1",2e-04
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
"US National","1 wk ahead","Bin","percent","10.5","10.6",0
"US National","1 wk ahead","Bin","percent","10.6","10.7",0
"US National","1 wk ahead","Bin","percent","10.7","10.8",0
"US National","1 wk ahead","Bin","percent","10.8","10.9",0
"US National","1 wk ahead","Bin","percent","10.9","11",0
"US National","1 wk ahead","Bin","percent","11","11.1",0
"US National","1 wk ahead","Bin","percent","11.1","11.2",0
"US National","1 wk ahead","Bin","percent","11.2","11.3",0
"US National","1 wk ahead","Bin","percent","11.3","11.4",0
"US National","1 wk ahead","Bin","percent","11.4","11.5",0
"US National","1 wk ahead","Bin","percent","11.5","11.6",0
"US National","1 wk ahead","Bin","percent","11.6","11.7",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","11.7","11.8",0
"US National","1 wk ahead","Bin","percent","11.8","11.9",0
"US National","1 wk ahead","Bin","percent","11.9","12",0
"US National","1 wk ahead","Bin","percent","12","12.1",0
"US National","1 wk ahead","Bin","percent","12.1","12.2",0
"US National","1 wk ahead","Bin","percent","12.2","12.3",0
"US National","1 wk ahead","Bin","percent","12.3","12.4",0
"US National","1 wk ahead","Bin","percent","12.4","12.5",0
"US National","1 wk ahead","Bin","percent","12.5","12.6",0
"US National","1 wk ahead","Bin","percent","12.6","12.7",0
"US National","1 wk ahead","Bin","percent","12.7","12.8",0
"US National","1 wk ahead","Bin","percent","12.8","12.9",0
"US National","1 wk ahead","Bin","percent","12.9","13",0
"US National","1 wk ahead","Bin","percent","13","100",3e-04
"US National","2 wk ahead","Point","percent",NA,NA,3.73812584015022
"US National","2 wk ahead","Bin","percent","0","0.1",0
"US National","2 wk ahead","Bin","percent","0.1","0.2",0
"US National","2 wk ahead","Bin","percent","0.2","0.3",0
"US National","2 wk ahead","Bin","percent","0.3","0.4",0
"US National","2 wk ahead","Bin","percent","0.4","0.5",0
"US National","2 wk ahead","Bin","percent","0.5","0.6",0
"US National","2 wk ahead","Bin","percent","0.6","0.7",0
"US National","2 wk ahead","Bin","percent","0.7","0.8",0
"US National","2 wk ahead","Bin","percent","0.8","0.9",0
"US National","2 wk ahead","Bin","percent","0.9","1",0
"US National","2 wk ahead","Bin","percent","1","1.1",0
"US National","2 wk ahead","Bin","percent","1.1","1.2",0
"US National","2 wk ahead","Bin","percent","1.2","1.3",0
"US National","2 wk ahead","Bin","percent","1.3","1.4",0
"US National","2 wk ahead","Bin","percent","1.4","1.5",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","1.5","1.6",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","1.6","1.7",2e-04
"US National","2 wk ahead","Bin","percent","1.7","1.8",2e-04
"US National","2 wk ahead","Bin","percent","1.8","1.9",0.0026
"US National","2 wk ahead","Bin","percent","1.9","2",0.003
"US National","2 wk ahead","Bin","percent","2","2.1",0.0068
"US National","2 wk ahead","Bin","percent","2.1","2.2",0.0085
"US National","2 wk ahead","Bin","percent","2.2","2.3",0.0112
"US National","2 wk ahead","Bin","percent","2.3","2.4",0.0135
"US National","2 wk ahead","Bin","percent","2.4","2.5",0.0177
"US National","2 wk ahead","Bin","percent","2.5","2.6",0.0211
"US National","2 wk ahead","Bin","percent","2.6","2.7",0.0282
"US National","2 wk ahead","Bin","percent","2.7","2.8",0.0289
"US National","2 wk ahead","Bin","percent","2.8","2.9",0.0299
"US National","2 wk ahead","Bin","percent","2.9","3",0.0334
"US National","2 wk ahead","Bin","percent","3","3.1",0.0369
"US National","2 wk ahead","Bin","percent","3.1","3.2",0.0401
"US National","2 wk ahead","Bin","percent","3.2","3.3",0.0381
"US National","2 wk ahead","Bin","percent","3.3","3.4",0.0365
"US National","2 wk ahead","Bin","percent","3.4","3.5",0.0388
"US National","2 wk ahead","Bin","percent","3.5","3.6",0.0373
"US National","2 wk ahead","Bin","percent","3.6","3.7",0.0343
"US National","2 wk ahead","Bin","percent","3.7","3.8",0.0361
"US National","2 wk ahead","Bin","percent","3.8","3.9",0.0306
"US National","2 wk ahead","Bin","percent","3.9","4",0.0338
"US National","2 wk ahead","Bin","percent","4","4.1",0.0293
"US National","2 wk ahead","Bin","percent","4.1","4.2",0.0289
"US National","2 wk ahead","Bin","percent","4.2","4.3",0.0276
"US National","2 wk ahead","Bin","percent","4.3","4.4",0.025
"US National","2 wk ahead","Bin","percent","4.4","4.5",0.0226
"US National","2 wk ahead","Bin","percent","4.5","4.6",0.0239
"US National","2 wk ahead","Bin","percent","4.6","4.7",0.0208
"US National","2 wk ahead","Bin","percent","4.7","4.8",0.0194
"US National","2 wk ahead","Bin","percent","4.8","4.9",0.0188
"US National","2 wk ahead","Bin","percent","4.9","5",0.0171
"US National","2 wk ahead","Bin","percent","5","5.1",0.015
"US National","2 wk ahead","Bin","percent","5.1","5.2",0.0137
"US National","2 wk ahead","Bin","percent","5.2","5.3",0.0122
"US National","2 wk ahead","Bin","percent","5.3","5.4",0.0123
"US National","2 wk ahead","Bin","percent","5.4","5.5",0.0098
"US National","2 wk ahead","Bin","percent","5.5","5.6",0.0088
"US National","2 wk ahead","Bin","percent","5.6","5.7",0.0091
"US National","2 wk ahead","Bin","percent","5.7","5.8",0.01
"US National","2 wk ahead","Bin","percent","5.8","5.9",0.0082
"US National","2 wk ahead","Bin","percent","5.9","6",0.0086
"US National","2 wk ahead","Bin","percent","6","6.1",0.0071
"US National","2 wk ahead","Bin","percent","6.1","6.2",0.0065
"US National","2 wk ahead","Bin","percent","6.2","6.3",0.0043
"US National","2 wk ahead","Bin","percent","6.3","6.4",0.0056
"US National","2 wk ahead","Bin","percent","6.4","6.5",0.0041
"US National","2 wk ahead","Bin","percent","6.5","6.6",0.0039
"US National","2 wk ahead","Bin","percent","6.6","6.7",0.0047
"US National","2 wk ahead","Bin","percent","6.7","6.8",0.0036
"US National","2 wk ahead","Bin","percent","6.8","6.9",0.003
"US National","2 wk ahead","Bin","percent","6.9","7",0.003
"US National","2 wk ahead","Bin","percent","7","7.1",0.0028
"US National","2 wk ahead","Bin","percent","7.1","7.2",0.0024
"US National","2 wk ahead","Bin","percent","7.2","7.3",0.0033
"US National","2 wk ahead","Bin","percent","7.3","7.4",0.0022
"US National","2 wk ahead","Bin","percent","7.4","7.5",0.0028
"US National","2 wk ahead","Bin","percent","7.5","7.6",0.0015
"US National","2 wk ahead","Bin","percent","7.6","7.7",0.0018
"US National","2 wk ahead","Bin","percent","7.7","7.8",0.0015
"US National","2 wk ahead","Bin","percent","7.8","7.9",0.0012
"US National","2 wk ahead","Bin","percent","7.9","8",0.0012
"US National","2 wk ahead","Bin","percent","8","8.1",0.001
"US National","2 wk ahead","Bin","percent","8.1","8.2",0.0016
"US National","2 wk ahead","Bin","percent","8.2","8.3",0.0011
"US National","2 wk ahead","Bin","percent","8.3","8.4",0.001
"US National","2 wk ahead","Bin","percent","8.4","8.5",0.0011
"US National","2 wk ahead","Bin","percent","8.5","8.6",0.0015
"US National","2 wk ahead","Bin","percent","8.6","8.7",0.0011
"US National","2 wk ahead","Bin","percent","8.7","8.8",8e-04
"US National","2 wk ahead","Bin","percent","8.8","8.9",0.0012
"US National","2 wk ahead","Bin","percent","8.9","9",0.0011
"US National","2 wk ahead","Bin","percent","9","9.1",5e-04
"US National","2 wk ahead","Bin","percent","9.1","9.2",6e-04
"US National","2 wk ahead","Bin","percent","9.2","9.3",7e-04
"US National","2 wk ahead","Bin","percent","9.3","9.4",4e-04
"US National","2 wk ahead","Bin","percent","9.4","9.5",4e-04
"US National","2 wk ahead","Bin","percent","9.5","9.6",8e-04
"US National","2 wk ahead","Bin","percent","9.6","9.7",0.001
"US National","2 wk ahead","Bin","percent","9.7","9.8",3e-04
"US National","2 wk ahead","Bin","percent","9.8","9.9",4e-04
"US National","2 wk ahead","Bin","percent","9.9","10",6e-04
"US National","2 wk ahead","Bin","percent","10","10.1",4e-04
"US National","2 wk ahead","Bin","percent","10.1","10.2",0.001
"US National","2 wk ahead","Bin","percent","10.2","10.3",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","10.3","10.4",3e-04
"US National","2 wk ahead","Bin","percent","10.4","10.5",4e-04
"US National","2 wk ahead","Bin","percent","10.5","10.6",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","10.6","10.7",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","10.7","10.8",2e-04
"US National","2 wk ahead","Bin","percent","10.8","10.9",3e-04
"US National","2 wk ahead","Bin","percent","10.9","11",3e-04
"US National","2 wk ahead","Bin","percent","11","11.1",2e-04
"US National","2 wk ahead","Bin","percent","11.1","11.2",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","11.2","11.3",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","11.3","11.4",2e-04
"US National","2 wk ahead","Bin","percent","11.4","11.5",2e-04
"US National","2 wk ahead","Bin","percent","11.5","11.6",3e-04
"US National","2 wk ahead","Bin","percent","11.6","11.7",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","11.7","11.8",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","11.8","11.9",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","11.9","12",0
"US National","2 wk ahead","Bin","percent","12","12.1",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","12.1","12.2",0
"US National","2 wk ahead","Bin","percent","12.2","12.3",3e-04
"US National","2 wk ahead","Bin","percent","12.3","12.4",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","12.4","12.5",2e-04
"US National","2 wk ahead","Bin","percent","12.5","12.6",0
